Value,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,QA60,NUVEM_SOMBRA,DIFERENCA_DIAS,Parameter,Dominio,Classe
"0,1144",31,51,16,1,1,1,1,1,1,1,1,1,0,SHADOW,0,CHL,Estados_Unidos,1
"0,118",31,51,16,1,1,1,1,1,1,1,1,1,0,SHADOW,0,CHL,Estados_Unidos,1
"0,3548",31,51,16,1,1,1,1,1,1,1,1,1,0,SHADOW,0,CHL,Estados_Unidos,1
"1,036",31,51,16,1,1,1,1,1,1,1,1,1,0,SHADOW,0,CHL,Estados_Unidos,1
"1,052",31,51,16,1,1,1,1,1,1,1,1,1,0,SHADOW,0,CHL,Estados_Unidos,1
"1,096",31,51,16,1,1,1,1,1,1,1,1,1,0,SHADOW,0,CHL,Estados_Unidos,1
"1,108",31,51,16,1,1,1,1,1,1,1,1,1,0,SHADOW,0,CHL,Estados_Unidos,1
"1,144",31,51,16,1,1,1,1,1,1,1,1,1,0,SHADOW,0,CHL,Estados_Unidos,1
"1,152",31,51,16,1,1,1,1,1,1,1,1,1,0,SHADOW,0,CHL,Estados_Unidos,1
"1,196",31,51,16,1,1,1,1,1,1,1,1,1,0,SHADOW,0,CHL,Estados_Unidos,1
"1,24",31,51,16,1,1,1,1,1,1,1,1,1,0,SHADOW,0,CHL,Estados_Unidos,1
"12,4",598,847,1210,720,637,167,154,113,58,1,1,1,0,,0,CHL,Estados_Unidos,5
"14,8",598,847,1210,720,637,167,154,113,58,1,1,1,0,,0,CHL,Estados_Unidos,5
"66,5",1,218,594,108,261,42,37,12,1,1,1,1,0,,0,CHL,Estados_Unidos,6
"72,9",22,229,626,118,287,59,67,22,6,1,1,1,0,,0,CHL,Estados_Unidos,6
"73,2",22,229,626,118,287,59,67,22,6,1,1,1,0,,0,CHL,Estados_Unidos,6
79,1,218,594,108,261,42,37,12,1,1,1,1,0,,0,CHL,Estados_Unidos,6
"5,5",141,114,80,95,78,30,29,23,24,1,1,2,0,SHADOW,0,CHL,Europa,4
"6,23",147,147,123,47,49,46,53,45,37,29,5,2,0,SHADOW,0,CHL,Estados_Unidos,4
"8,9",164,230,412,459,421,147,157,135,86,1,4,2,0,SHADOW,0,CHL,Estados_Unidos,4
"13,2",584,778,1159,647,548,94,85,48,12,1,2,2,0,,0,CHL,Estados_Unidos,5
"13,2",584,778,1159,647,548,94,85,48,12,1,2,2,0,,0,CHL,Estados_Unidos,5
"22,6",220,266,771,252,287,32,36,17,1,1,1,2,0,,0,CHL,Estados_Unidos,5
"29,1",220,266,771,252,287,32,36,17,1,1,1,2,0,,0,CHL,Estados_Unidos,5
35,53,189,349,234,262,64,60,51,28,,9,2,0,NADA,0,CHL,Estados_Unidos,6
"80,7",1,210,594,111,278,53,60,20,1,1,1,2,0,,0,CHL,Estados_Unidos,6
"84,3",1,210,594,111,278,53,60,20,1,1,1,2,0,,0,CHL,Estados_Unidos,6
"1,07",173,219,345,134,90,38,44,38,36,,17,3,0,NADA,0,CHL,PMQs,1
"2,14",173,219,345,134,90,38,44,38,36,,17,3,0,NADA,0,CHL,PMQs,2
13,209,289,328,213,161,16,25,17,3,1,10,3,0,,0,CHL,Europa,5
"16,3",1,154,340,244,258,62,63,48,18,1,8,3,0,,0,CHL,Estados_Unidos,5
