Unnamed: 0,Sample_Date,Image_Date,Time_Sample,Image_Hour,Station_Sample,Parameter,Value,Unit,Depth,Depth_Unit,Local_Name,Location_Type,Lat,Lon,Country,Organization_Data,Hemisphere,Season,Source_Domain,Diff_Date,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,MSK_CLDPRB,MSK_SNOW,QA60,CLDYPXPER,DRK_FEA_PE,NDWI,NBSI,Water_Check,Snow_Check,Scene_Class,geometry
3349,16/07/2019,17/07/2019,09:07:00,13:32:31,SS30S,Chlorophyll,0.53,ug/l,0,m,SÃƒÂ£o Si,Reservoir,-189.386,-494.794,Brazil,CEMIG,South,Winter,CEMIG,1,230,213,436,406,720,1517,2080,2018,2111,1851,1367,756,0,0,0,45.298,0.7461,-0.644661777,-22.562.170.642.201.800,Drought,No_Snow,Vegetation,POINT (-49.47944444444445 -18.93861111111111)
4291,07/02/2019,08/02/2019,09:02:00,13:02:41,VIR30S,Chlorophyll,0.53,ug/l,0.2,m,IrapÃ,Reservoir,-170.231,-428.002,Brazil,CEMIG,South,Summer,CEMIG,1,4041,4541,4185,3989,4388,4502,4497,4685,4509,5750,4260,3740,100,0,1024,818.659,0.1817,-0.056369786,-194.180.957.228.196,Drought,No_Snow,Clouds High,POINT (-42.80016666666666 -17.023138888888887)
3028,03/09/2019,01/09/2019,01:09:00,13:02:49,SG001S,Chlorophyll,0.68,ug/l,0.2,m,Salto Grande,Reservoir,-191.514,-427.762,Brazil,CEMIG,South,Winter,CEMIG,2,185,254,421,330,822,1928,2509,2620,2780,2767,1955,980,0,0,0,0.7727,0.47,-0.723117396,-3.005.260.389.548.690,Drought,No_Snow,Vegetation,POINT (-42.77622222222222 -19.151444444444444)
810,24/11/2020,25/11/2020,09:11:00,13:22:31,EM10S,Chlorophyll,0.89,ug/l,0.2,m,EmborcaÃƒÂ�,Reservoir,-181.812,-474.841,Brazil,CEMIG,South,Spring,CEMIG,1,14483,12974,12146,11598,12279,11346,10986,10372,10629,15756,6205,4275,100,0,1024,688.639,0.3797,0.078781419,-0.812462317,Humidity,No_Snow,Clouds High,POINT (-47.48411111111111 -18.181222222222225)
443,23/02/2021,23/02/2021,11:02:00,13:22:31,EM10S,Chlorophyll,0.89,ug/l,0.2,m,EmborcaÃƒÂ�,Reservoir,-181.812,-474.841,Brazil,CEMIG,South,Summer,CEMIG,0,498,344,645,335,1177,4012,5623,5610,6106,4015,2266,1030,0,0,0,24.783,12.286,-0.793764988,-2.119.592.558.139.530,Drought,No_Snow,Vegetation,POINT (-47.48411111111111 -18.181222222222225)
222,13/04/2021,11/04/2021,02:04:00,13:12:41,AN010S,Chlorophyll,0.89,ug/l,0,m,Anil,Reservoir,-208.175,-450.603,Brazil,CEMIG,South,Autumn,CEMIG,2,22,26,119,86,190,396,436,446,490,354,300,164,0,0,0,42.053,0.6172,-0.578761062,-1.603.202.655.462.180,Drought,No_Snow,Cloud Shadows,POINT (-45.06030555555555 -20.81747222222222)
2063,18/03/2020,19/03/2020,10:03:00,13:02:49,SCLI03S,Chlorophyll,1.07,ug/l,0.2,m,SÃƒÂ¡ Ca,Reservoir,-196.376,-428.228,Brazil,CEMIG,South,Summer,CEMIG,1,749,1196,1615,1672,2250,2993,3278,3102,3374,3282,3056,2407,0,0,0,642.723,0.1362,-0.315242739,-2.306.555.752.321.980,Drought,No_Snow,Bare Soils,POINT (-42.82277777777778 -19.63761111111111)
2553,27/11/2019,26/11/2019,08:11:00,13:22:29,NP170S,Chlorophyll,1.07,ug/l,0,m,Nova Ponte,Reservoir,-191.745,-476.445,Brazil,CEMIG,South,Spring,CEMIG,1,5858,5803,5452,5132,5466,5346,5372,5221,5296,9149,4335,3893,100,0,1024,689.606,0.2794,0.021643399,-16.429.499.339.691.800,Humidity,No_Snow,Clouds High,POINT (-47.6445 -19.17452777777778)
2108,03/03/2020,04/03/2020,10:03:00,13:02:41,SG005S,Chlorophyll,1.07,ug/l,0.2,m,Salto Grande,Reservoir,-191.006,-427.184,Brazil,CEMIG,South,Summer,CEMIG,1,8118,7699,7422,7118,7832,7768,7695,7460,7776,15634,5233,4415,100,0,1024,997.218,0.0158,-0.00255342,-13.634.746.160.064.600,Drought,No_Snow,Clouds High,POINT (-42.71838888888889 -19.100583333333336)
2570,26/11/2019,26/11/2019,08:11:00,13:22:29,NP190S,Chlorophyll,1.07,ug/l,0,m,Nova Ponte,Reservoir,-191.317,-476.992,Brazil,CEMIG,South,Spring,CEMIG,0,6411,5945,5512,5183,5559,5465,5493,5314,5389,13176,3687,3133,100,0,1024,689.606,0.2794,0.018289304,-14.393.281.044.992.700,Humidity,No_Snow,Clouds High,POINT (-47.69916666666666 -19.131666666666668)
1653,23/06/2020,22/06/2020,03:06:00,13:02:51,MM030S,Chlorophyll,1.07,ug/l,0.2,m,Machado Mineiro,Reservoir,-155.064,-417.047,Brazil,CEMIG,South,Winter,CEMIG,1,146,145,219,190,236,106,153,121,107,454,102,40,0,0,0,0.3285,0.116,0.288235294,-0.835868858,Water_Surface,No_Snow,Water,POINT (-41.70472222222222 -15.506388888888887)
1635,25/06/2020,26/06/2020,04:06:00,13:32:29,SS110S,Chlorophyll,1.07,ug/l,0.2,m,SÃƒÂ£o Si,Reservoir,-188.375,-501.103,Brazil,CEMIG,South,Winter,CEMIG,1,76,296,576,802,1277,1816,2077,2018,2272,2298,2278,1573,0,0,0,7.369,0.5657,-0.555898227,-3.350.335.666.666.660,Drought,No_Snow,Bare Soils,POINT (-50.11027777777778 -18.8375)
1628,26/06/2020,26/06/2020,01:06:00,13:32:29,SS240S,Chlorophyll,1.07,ug/l,0.2,m,SÃƒÂ£o Si,Reservoir,-189.947,-505.022,Brazil,CEMIG,South,Winter,CEMIG,0,691,846,975,699,705,633,627,681,600,2223,562,428,0,0,2048,370.436,14.134,0.177536232,-12.780.866.666.666.600,Humidity,No_Snow,Cirrus,POINT (-50.50222222222222 -18.994722222222222)
2572,26/11/2019,26/11/2019,01:11:00,13:22:29,PJ150S,Chlorophyll,1.07,ug/l,0.2,m,Pai Joaquim,Reservoir,-195.058,-475.185,Brazil,CEMIG,South,Spring,CEMIG,0,5303,5035,4811,4550,4877,4938,5142,5017,5136,6740,4803,4512,100,0,1024,689.606,0.2794,-0.020960521,-194.710.272.542.091,Drought,No_Snow,Clouds High,POINT (-47.51847222222222 -19.505777777777777)
4104,21/02/2019,21/02/2019,03:02:00,13:12:41,XC020S,Chlorophyll,1.07,ug/l,0.2,m,XicÃƒ�,Reservoir,-219.197,-454.789,Brazil,CEMIG,South,Summer,CEMIG,0,7651,6701,6391,6049,6519,6592,6591,6417,6553,13975,3574,2796,100,0,1024,993.708,0.0001,-0.002029981,-11.645.439.317.790.600,Drought,No_Snow,Clouds High,POINT (-45.47894444444445 -21.919694444444445)
2575,26/11/2019,26/11/2019,03:11:00,13:22:29,NP110S,Chlorophyll,1.07,ug/l,0.2,m,Nova Ponte,Reservoir,-193.601,-470.471,Brazil,CEMIG,South,Spring,CEMIG,0,10118,9444,8818,8382,8723,8454,8410,8133,8291,11357,6693,5486,100,0,1024,765.245,0.1739,0.040410595,-1.450.439.693.354.500,Humidity,No_Snow,Clouds High,POINT (-47.04708333333333 -19.360083333333336)
1609,26/06/2020,26/06/2020,02:06:00,13:32:29,SS230S,Chlorophyll,1.07,ug/l,0.2,m,SÃƒÂ£o Si,Reservoir,-189.775,-505.239,Brazil,CEMIG,South,Winter,CEMIG,0,707,997,1095,783,813,759,773,966,729,2040,729,570,0,0,2048,7.369,0.5657,0.062590975,-14.015.662.283.105.000,Humidity,No_Snow,Cirrus,POINT (-50.52388888888889 -18.9775)
3002,05/09/2019,06/09/2019,11:09:00,13:02:51,PT002S,Chlorophyll,1.07,ug/l,0.2,m,Peti,Reservoir,-198.967,-433.519,Brazil,CEMIG,South,Winter,CEMIG,1,9527,8864,8290,7871,8172,7860,7699,7420,7643,8832,6190,5169,100,0,1024,869.722,0.4872,0.05537874,-14.628.463.642.943.300,Humidity,No_Snow,Clouds High,POINT (-43.35191666666667 -19.896666666666665)
3849,12/04/2019,10/04/2019,10:04:00,13:22:39,LG02S,Chlorophyll,1.07,ug/l,0,m,Lages,Reservoir,-184.875,-46.935,Brazil,CEMIG,South,Autumn,CEMIG,2,2600,1584,1826,2081,2656,3901,4438,3255,4727,5568,3607,2970,0,0,2048,635.192,0.1962,-0.28124385,-25.968.439.036.144.500,Drought,No_Snow,Bare Soils,POINT (-46.93497222222222 -18.4875)
1608,26/06/2020,26/06/2020,03:06:00,13:32:29,SS250S,Chlorophyll,1.07,ug/l,0.2,m,SÃƒÂ£o Si,Reservoir,-190.428,-505.039,Brazil,CEMIG,South,Winter,CEMIG,0,475,741,1019,1315,1647,1836,2033,2049,2273,2897,2693,2042,0,0,2048,370.436,14.134,-0.335723598,-28.426.209.303.238.400,Drought,No_Snow,Cirrus,POINT (-50.50388888888889 -19.04277777777778)
1605,26/06/2020,26/06/2020,11:06:00,13:32:29,SS220S,Chlorophyll,1.07,ug/l,0.2,m,SÃƒÂ£o Si,Reservoir,-189.806,-504.247,Brazil,CEMIG,South,Winter,CEMIG,0,144,258,304,128,99,50,62,64,65,170,103,91,0,0,0,7.369,0.5657,0.652173913,-11.404.703.157.894.700,Water_Surface,No_Snow,Water,POINT (-50.42472222222222 -18.980555555555554)
2830,16/10/2019,15/10/2019,01:10:00,13:32:31,SL010S,Chlorophyll,1.07,ug/l,0.2,m,Santa Luzia,Reservoir,-185.248,-492.154,Brazil,CEMIG,South,Spring,CEMIG,1,538,478,687,579,951,1722,2111,1837,2259,2226,1272,847,1,0,0,0.0093,0.3897,-0.45562599,-1.944.167.400.291.120,Drought,No_Snow,Vegetation,POINT (-49.21536111111112 -18.52480555555556)
2591,20/11/2019,18/11/2019,05:11:00,13:12:41,PF003S,Chlorophyll,1.07,ug/l,0.2,m,PoÃƒÂ§o,Reservoir,-217.919,-461.246,Brazil,CEMIG,South,Spring,CEMIG,2,1436,1048,1051,936,1069,1669,1778,1803,2005,2824,1378,971,5,0,1024,285.727,0.4724,-0.263489839,-1.922.387.592.768.790,Drought,No_Snow,Clowds Low,POINT (-46.12458333333333 -21.79188888888889)
2828,16/10/2019,15/10/2019,09:10:00,13:32:31,MT02S,Chlorophyll,1.07,ug/l,0,m,Martins,Reservoir,-188.061,-48.39,Brazil,CEMIG,South,Spring,CEMIG,1,331,634,815,653,933,1886,2294,2211,2182,3068,1321,699,0,0,0,0.2423,0.3375,-0.461335096,-1.635.238.822.085.880,Drought,No_Snow,Vegetation,POINT (-48.39 -18.806083333333333)
