Unnamed: 0,Sample_Date,Image_Date,Time_Sample,Image_Hour,Station_Sample,Parameter,Value,Unit,Depth,Depth_Unit,Local_Name,Location_Type,Lat,Lon,Country,Organization_Data,Hemisphere,Season,Source_Domain,Diff_Date,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,MSK_CLDPRB,MSK_SNOW,QA60,CLDYPXPER,DRK_FEA_PE,NDWI,NBSI,Water_Check,Snow_Check,Scene_Class,geometry
4206,08/04/2020,06/04/2020,09:05,13:12:41,ACLA00500,Chlorophyll,0.56,ug/l,0,m,ReservatÃƒÂ³rio ÃƒÂguas C,Reservoir,-233.978,-466.583,Brazil,Cetesb,South,Autumn,Brazil,2,164,218,312,148,151,190,202,187,251,774,268,158,0,0,0,16.476,0.4935,0.250501002,-12.086.362.051.282.000,Water_Surface,No_Snow,Dark Area,POINT (-46.65833333333333 -23.397777777777776)
5023,05/02/2019,06/02/2019,12:40,13:12:49,TGDE00900,Chlorophyll,0.56,ug/l,0,m,ReservatÃƒÂ³rio de Tanque Grande,Reservoir,-233.772,-464.597,Brazil,Cetesb,South,Summer,Brazil,1,8961,9084,8316,7832,7938,7316,7249,7180,6953,14570,3479,3111,100,0,1024,978.317,0.0011,0.073309241,-0.974542216,Humidity,No_Snow,Clouds High,POINT (-46.45972222222223 -23.377222222222223)
4705,31/07/2019,31/07/2019,12:15,13:12:51,TGDE00900,Chlorophyll,0.56,ug/l,0,m,ReservatÃƒÂ³rio de Tanque Grande,Reservoir,-233.772,-464.597,Brazil,Cetesb,South,Winter,Brazil,0,209,118,268,156,581,2012,2579,2555,2756,2514,1235,511,0,0,0,6.323,12.245,-0.810131066,-2.363.270.925.373.130,Drought,No_Snow,Vegetation,POINT (-46.45972222222223 -23.377222222222223)
4715,25/07/2019,26/07/2019,11:42,13:12:49,ACLA00500,Chlorophyll,0.56,ug/l,0,m,ReservatÃƒÂ³rio ÃƒÂguas C,Reservoir,-233.978,-466.583,Brazil,Cetesb,South,Winter,Brazil,1,183,334,413,174,140,99,132,133,168,526,159,92,0,0,0,147.937,13.666,0.512820513,-10.214.569.975.786.900,Water_Surface,No_Snow,Water,POINT (-46.65833333333333 -23.397777777777776)
4823,25/06/2019,25/06/2019,09:10,13:42:19,ISOL02995,Chlorophyll,0.56,ug/l,0,m,ReservatÃƒÂ³rio de Ilha Solteira,Reservoir,-203.764,-51.375,Brazil,Cetesb,South,Winter,Brazil,0,184,310,361,147,117,96,109,96,81,84,95,81,0,0,0,0.0096,0.1549,0.579868709,-10.708.584.930.747.900,Water_Surface,No_Snow,Water,POINT (-51.375 -20.37638888888889)
4306,06/02/2020,06/02/2020,09:00,13:12:31,ACLA00500,Chlorophyll,0.56,ug/l,0,m,ReservatÃƒÂ³rio ÃƒÂguas C,Reservoir,-233.978,-466.583,Brazil,Cetesb,South,Summer,Brazil,0,616,670,801,477,607,675,844,614,965,1477,782,461,0,0,1024,94.05,0.0169,0.132155477,-14.220.730.187.265.900,Humidity,No_Snow,Dark Area,POINT (-46.65833333333333 -23.397777777777776)
4744,18/07/2019,16/07/2019,13:40,13:12:49,CAMO00900,Chlorophyll,0.56,ug/l,0,m,ReservatÃƒÂ³rio Capivari-Monos,Reservoir,-239.225,-467.294,Brazil,Cetesb,South,Winter,Brazil,2,9224,8862,8245,7718,7830,7595,7570,7988,7379,8707,4987,3465,100,0,1024,872.601,0.0341,0.015831947,-11.315.519.320.800.400,Humidity,No_Snow,Clouds High,POINT (-46.72944444444445 -23.9225)
5029,31/01/2019,01/02/2019,12:50,13:12:41,PEBA00900,Chlorophyll,0.58,ug/l,0,m,ReservatÃƒÂ³rio TaiaÃƒÂ§,Reservoir,-235.786,-462.781,Brazil,Cetesb,South,Summer,Brazil,1,737,744,777,714,788,865,887,965,893,2179,597,500,0,0,2048,165.363,0.3123,-0.107921929,-15.723.136.010.296.000,Drought,No_Snow,Cirrus,POINT (-46.278055555555554 -23.578611111111112)
4028,30/06/2020,30/06/2020,11:21,13:12:49,RGDE02030,Chlorophyll,0.76,ug/l,0,m,ReservatÃƒÂ³rio do Rio Grande,Reservoir,-237.417,-464.164,Brazil,Cetesb,South,Winter,Brazil,0,2609,2780,2772,2357,2523,2707,2758,3045,2653,8676,1869,1630,66,0,2048,748.588,15.041,-0.046931408,-14.835.450.909.090.900,Drought,No_Snow,Clouds Medim,POINT (-46.41638888888889 -23.741666666666667)
4678,13/08/2019,11/08/2019,09:00,13:32:29,ISOL02995,Chlorophyll,0.8,ug/l,0,m,ReservatÃƒÂ³rio de Ilha Solteira,Reservoir,-203.764,-51.375,Brazil,Cetesb,South,Winter,Brazil,2,216,324,325,149,127,125,98,116,109,111,103,77,0,0,0,0.0096,0.3605,0.473922902,-1.222.906.153.846.150,Water_Surface,No_Snow,Water,POINT (-51.375 -20.37638888888889)
4405,28/11/2019,28/11/2019,11:00,13:12:41,ACLA00500,Chlorophyll,0.8,ug/l,0,m,ReservatÃƒÂ³rio ÃƒÂguas C,Reservoir,-233.978,-466.583,Brazil,Cetesb,South,Spring,Brazil,0,10863,9810,9320,8818,8565,8642,8875,8610,8949,2378,6123,4389,100,0,1024,999.478,0,0.039598438,-11.728.698.540.772.500,Humidity,No_Snow,Clouds High,POINT (-46.65833333333333 -23.397777777777776)
4836,02/06/2019,01/06/2019,09:35,13:12:51,MOCA02990,Chlorophyll,1,ug/l,0,m,ReservatÃƒÂ³rio Cachoeira de Cima,Reservoir,-223.783,-468.997,Brazil,Cetesb,South,Autumn,Brazil,1,564,690,954,882,1378,2575,2929,3075,3202,2946,2159,1311,0,0,0,399.241,0.3863,-0.526433358,-213.658.827.672.956,Drought,No_Snow,Vegetation,POINT (-46.89972222222222 -22.37833333333333)
5006,14/02/2019,14/02/2019,11:45,13:22:31,JURU02500,Chlorophyll,1.07,ug/l,0,m,ReservatÃƒÂ³rio Jurumirim,Reservoir,-232.608,-490.011,Brazil,Cetesb,South,Summer,Brazil,0,11005,10154,9428,8836,9480,8583,8109,8278,7864,15871,5378,3604,100,0,1024,954.449,0.0002,0.064949735,-1.041.558.258.803.560,Humidity,No_Snow,Clouds High,POINT (-49.00111111111111 -23.26083333333333)
4877,15/05/2019,13/05/2019,09:00,13:32:39,RPRE02200,Chlorophyll,1.1,ug/l,0,m,ReservatÃƒÂ³rio do Rio Preto,Reservoir,-208.094,-493.761,Brazil,Cetesb,South,Autumn,Brazil,2,722,1027,1298,1595,1872,1776,1867,1696,1901,1904,2059,2095,3,0,0,0.0352,0.234,-0.132932532,-24.459.348.289.676.400,Drought,No_Snow,Bare Soils,POINT (-49.37611111111112 -20.809444444444445)
4480,12/10/2019,10/10/2019,09:00,13:32:29,ISOL02995,Chlorophyll,1.22,ug/l,0,m,ReservatÃƒÂ³rio de Ilha Solteira,Reservoir,-203.764,-51.375,Brazil,Cetesb,South,Spring,Brazil,2,439,479,464,339,345,320,332,318,347,627,299,263,0,0,0,339.779,0.708,0.186700767,-15.886.819.310.344.800,Humidity,No_Snow,Water,POINT (-51.375 -20.37638888888889)
5002,19/02/2019,17/02/2019,09:05,13:32:21,ISOL02995,Chlorophyll,1.27,ug/l,0,m,ReservatÃƒÂ³rio de Ilha Solteira,Reservoir,-203.764,-51.375,Brazil,Cetesb,South,Summer,Brazil,2,2433,2647,2435,2091,2229,2345,2246,2874,2045,6586,2061,1629,47,0,0,204.392,0.5941,-0.082689772,-16.957.574.948.665.200,Drought,No_Snow,Clouds Medim,POINT (-51.375 -20.37638888888889)
4767,16/07/2019,17/07/2019,10:40,13:32:31,TITR02800,Chlorophyll,1.34,ug/l,0,m,ReservatÃƒÂ³rio de TrÃƒÂªs Ir,Reservoir,-206.597,-511.467,Brazil,Cetesb,South,Winter,Brazil,1,112,128,170,83,86,57,53,60,55,28,28,37,0,0,0,282.985,0.9511,0.47826087,-0.962120235,Water_Surface,No_Snow,Water,POINT (-51.14666666666667 -20.65972222222222)
5010,13/02/2019,11/02/2019,10:45,13:12:41,JAGJ00900,Chlorophyll,1.5,ug/l,0,m,ReservatÃƒÂ³rio do Jaguari - UGRHI 02,Reservoir,-231.936,-460.275,Brazil,Cetesb,South,Summer,Brazil,2,434,467,610,233,197,161,178,156,165,375,160,132,0,0,0,331.652,0.8794,0.592689295,-0.962003213,Water_Surface,No_Snow,Water,POINT (-46.0275 -23.19361111111111)
