Unnamed: 0,Sample_Date,Image_Date,Time_Sample,Image_Hour,Station_Sample,Parameter,Value,Unit,Depth,Depth_Unit,Local_Name,Location_Type,Lat,Lon,Country,Organization_Data,Hemisphere,Season,Source_Domain,Diff_Date,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,MSK_CLDPRB,MSK_SNOW,QA60,CLDYPXPER,DRK_FEA_PE,NDWI,NBSI,Water_Check,Snow_Check,Scene_Class,geometry
3089,22/08/2019,20/08/2019,10:08:00,13:12:51,TM30S,Chlorophyll,0.12,ug/l,0.2,m,TrÃƒÂªs,Reservoir,-185.722,-452.608,Brazil,CEMIG,South,Winter,CEMIG,2,517,528,641,417,417,387,363,327,319,341,139,70,0,0,0,34.745,10.743,0.324380165,-0.896957317,Water_Surface,No_Snow,Water,POINT (-45.26080555555556 -18.572222222222223)
771,03/12/2020,02/12/2020,10:12:00,13:12:41,TM30S,Chlorophyll,0.12,ug/l,0.2,m,TrÃƒÂªs,Reservoir,-185.722,-452.608,Brazil,CEMIG,South,Spring,CEMIG,1,1882,1675,1920,1573,1648,1605,1617,1658,1583,5030,1135,1015,26,0,2048,946.881,0.0071,0.073225266,-13.291.056.666.666.600,Humidity,No_Snow,Clouds Medim,POINT (-45.26080555555556 -18.572222222222223)
3386,05/07/2021,05/07/2021,0,13:12:49,TM04,Chlorophyll,0.31,ug/l,0.5,m,Reservatorio de TrÃƒÂªs,Reservoir,-182.134,-452.942,Brazil,Simoa_Limnologia,South,Winter,Tres_Marias,0,607,686,756,534,532,535,565,575,585,1131,482,418,0,0,2048,369.598,0.7622,0.135987979,-14.413.774.603.174.600,Humidity,No_Snow,Cirrus,POINT (-45.294154 -18.213416)
3387,05/07/2021,05/07/2021,0,13:12:49,TM04,Chlorophyll,0.315,ug/l,0.5,m,Reservatorio de TrÃƒÂªs,Reservoir,-182.103,-452.921,Brazil,Simoa_Limnologia,South,Winter,Tres_Marias,0,734,726,817,587,609,632,684,616,709,1445,553,495,0,0,2048,369.598,0.7622,0.140265178,-14.770.720.440.636.400,Humidity,No_Snow,Cirrus,POINT (-45.29206 -18.210294)
3381,05/07/2021,05/07/2021,0,13:12:49,TM04,Chlorophyll,0.41,ug/l,0.5,m,Reservatorio de TrÃƒÂªs,Reservoir,-182.083,-452.957,Brazil,Simoa_Limnologia,South,Winter,Tres_Marias,0,725,675,817,605,637,661,714,655,730,1531,678,601,0,0,2048,369.598,0.7622,0.110054348,-1.554.839.505.507.950,Humidity,No_Snow,Cirrus,POINT (-45.295708 -18.208311)
3094,22/08/2019,20/08/2019,03:08:00,13:12:51,TM40S,Chlorophyll,0.53,ug/l,0.2,m,TrÃƒÂªs,Reservoir,-184.893,-454.273,Brazil,CEMIG,South,Winter,CEMIG,2,450,461,501,343,342,331,318,290,257,283,105,68,0,0,0,34.745,10.743,0.266750948,-10.255.642.235.528.900,Water_Surface,No_Snow,Water,POINT (-45.42730555555556 -18.48927777777778)
2146,21/02/2020,21/02/2020,12:02:00,13:12:39,TM40S,Chlorophyll,0.53,ug/l,0.2,m,TrÃƒÂªs,Reservoir,-184.893,-454.273,Brazil,CEMIG,South,Summer,CEMIG,0,11452,10570,10316,9918,11197,10710,10385,9876,10192,15695,6600,5239,100,0,1024,25.788,10.846,0.021790808,-11.085.138.270.647.500,Humidity,No_Snow,Clouds High,POINT (-45.42730555555556 -18.48927777777778)
3457,20/06/2021,20/06/2021,11:08:00,13:12:41,Pontos_Randomicos,Chlorophyll,0.56,ug/l,0.409,m,Reservatorio de TrÃƒÂªs,Reservoir,-185.246,-454.442,Brazil,Simoa_Geo,South,Autumn,Tres_Marias,0,210,293,416,162,137,94,82,87,96,61,81,68,0,0,0,0.6875,0.7259,0.654075547,-0.851948462,Water_Surface,No_Snow,Water,POINT (-45.444176 -18.524631)
4089,31/05/2020,31/05/2020,10:48:00,13:12:49,Pontos_Randomicos,Chlorophyll,0.6,ug/l,0.635,m,Reservatorio de TrÃƒÂªs,Reservoir,-184.552,-453.792,Brazil,Simoa_Geo,South,Autumn,Tres_Marias,0,204,360,517,202,157,81,99,83,75,74,45,30,0,0,0,19.573,0.819,0.723333333,-0.729980031,Water_Surface,No_Snow,Water,POINT (-45.379171 -18.455225)
4090,31/05/2020,31/05/2020,10:58:00,13:12:49,Pontos_Randomicos,Chlorophyll,0.61,ug/l,0.346,m,Reservatorio de TrÃƒÂªs,Reservoir,-184.608,-453.678,Brazil,Simoa_Geo,South,Autumn,Tres_Marias,0,252,377,530,208,121,86,87,68,68,61,39,44,0,0,0,19.573,0.819,0.772575251,-0.769223623,Water_Surface,No_Snow,Water,POINT (-45.367799 -18.460824)
