BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,VALUE,CLASSE
0.024300000000000002,0.0183,0.02,0.0161,0.0201,0.0111,0.012100000000000001,0.010400000000000001,0.009300000000000001,0.0024000000000000002,0.0045000000000000005,0.0029000000000000002,5.8,0
0.020300000000000002,0.0146,0.0146,0.012100000000000001,0.013800000000000002,0.0095,0.01,0.0082,0.0085,0.0014,0.0015,0.0019,5.3,0
0.0264,0.0381,0.0632,0.081,0.07980000000000001,0.038,0.0361,0.0351,0.0247,0.0105,0.008700000000000001,0.0048000000000000004,37.598,1
0.009000000000000001,0.0173,0.0253,0.0155,0.0131,0.0066,0.0066,0.007,0.0046,0.0275,0.0024000000000000002,0.0018000000000000002,2.9,0
0.029900000000000003,0.0337,0.053700000000000005,0.038900000000000004,0.0465,0.0184,0.018500000000000003,0.0143,0.013900000000000001,0.0024000000000000002,0.0048000000000000004,0.005200000000000001,58.97,1
0.0082,0.019200000000000002,0.027100000000000003,0.0145,0.0114,0.004200000000000001,0.0073,0.007500000000000001,0.0028,0.0228,0.0032,0.0016,2.9,0
0.022000000000000002,0.0166,0.0179,0.0142,0.0181,0.0091,0.009300000000000001,0.0068000000000000005,0.0049,0.0002,0.0032,0.0032,8.8,0
0.0334,0.0415,0.06670000000000001,0.0601,0.0519,0.018500000000000003,0.0164,0.012700000000000001,0.008400000000000001,0.1915,0.0033,0.0041,61.13,1
0.031900000000000005,0.033600000000000005,0.0378,0.0398,0.0424,0.0287,0.0304,0.0244,0.0218,0.0001,0.004,0.0032,50.2,1
0.0307,0.0386,0.061200000000000004,0.0743,0.0718,0.0334,0.0318,0.0287,0.0188,0.0046,0.006900000000000001,0.0029000000000000002,34.146,1
0.0369,0.0471,0.0698,0.0604,0.0539,0.0211,0.0198,0.0149,0.0148,0.0025,0.0041,0.0049,24.74,0
0.020900000000000002,0.0164,0.0182,0.0131,0.0181,0.0094,0.0094,0.0058000000000000005,0.0044,0.0001,0.0011,0.0019,5.4,0
0.025500000000000002,0.0229,0.027,0.0251,0.032600000000000004,0.0172,0.0166,0.0128,0.0108,0.0001,0.0018000000000000002,0.0027,19.9,0
0.0738,0.1246,0.1696,0.0907,0.0685,0.0176,0.015700000000000002,0.011600000000000001,0.0064,0.0001,0.0001,0.0008,15.4,0
0.0708,0.12240000000000001,0.163,0.09820000000000001,0.07930000000000001,0.0228,0.0193,0.0167,0.0095,0.0001,0.0009000000000000001,0.0008,59.6,1
0.0695,0.116,0.1632,0.1086,0.0872,0.0253,0.0224,0.0188,0.009000000000000001,0.0001,0.0001,0.0012000000000000001,16.7,0
0.0721,0.12380000000000001,0.1686,0.1034,0.07970000000000001,0.023700000000000002,0.020200000000000003,0.0146,0.009000000000000001,0.0001,0.0006000000000000001,0.0006000000000000001,15.8,0
0.0755,0.1252,0.17,0.10160000000000001,0.0806,0.021500000000000002,0.018600000000000002,0.0146,0.0074,0.0001,0.0001,0.0008,17.8,0
0.0091,0.0159,0.0263,0.0149,0.017,0.0094,0.024,0.0131,0.008700000000000001,0.044500000000000005,0.013300000000000001,0.0099,25.84,1
0.053700000000000005,0.093,0.13620000000000002,0.1076,0.0888,0.028,0.024,0.020900000000000002,0.009000000000000001,0.0001,0.0001,0.0008,18.4,0
0.0708,0.12240000000000001,0.163,0.09820000000000001,0.07930000000000001,0.0228,0.0193,0.0167,0.0095,0.0001,0.0009000000000000001,0.0008,17.5,0
0.0507,0.09480000000000001,0.1434,0.0855,0.07250000000000001,0.019100000000000002,0.018500000000000003,0.013800000000000002,0.0066,0.0001,0.0006000000000000001,0.0015,12.2,0
0.0801,0.134,0.1776,0.108,0.0833,0.022500000000000003,0.020200000000000003,0.0162,0.0081,0.0001,0.0001,0.0001,18.8,0
0.0708,0.12240000000000001,0.163,0.09820000000000001,0.07930000000000001,0.0228,0.0193,0.0167,0.0095,0.0001,0.0009000000000000001,0.0008,58.1,1
0.065,0.1134,0.15760000000000002,0.1086,0.08600000000000001,0.025500000000000002,0.0228,0.0182,0.0082,0.0001,0.0001,0.0001,21.3,0
0.0738,0.1246,0.1696,0.0907,0.0685,0.0176,0.015700000000000002,0.011600000000000001,0.0064,0.0001,0.0001,0.0008,17.8,0
0.0397,0.044500000000000005,0.07010000000000001,0.0707,0.0669,0.0587,0.061900000000000004,0.0666,0.0655,0.1786,0.0884,0.0767,3.8,0
0.0755,0.1252,0.17,0.10160000000000001,0.0806,0.021500000000000002,0.018600000000000002,0.0146,0.0074,0.0001,0.0001,0.0008,18.0,0
0.053700000000000005,0.093,0.13620000000000002,0.1076,0.0888,0.028,0.024,0.020900000000000002,0.009000000000000001,0.0001,0.0001,0.0008,13.7,0
0.0022,0.009000000000000001,0.0037,0.0025,0.0026000000000000003,0.0011,0.003,0.0032,0.0059,0.0029000000000000002,0.0056,0.0035,0.64,0
0.0695,0.116,0.1632,0.1086,0.0872,0.0253,0.0224,0.0188,0.009000000000000001,0.0001,0.0001,0.0012000000000000001,22.9,0
0.0023,0.0073,0.0049,0.0029000000000000002,0.0034000000000000002,0.13190000000000002,0.0027,0.003,0.0027,0.004200000000000001,0.005200000000000001,0.0023,2.17,0
0.0708,0.12240000000000001,0.163,0.09820000000000001,0.07930000000000001,0.0228,0.0193,0.0167,0.0095,0.0001,0.0009000000000000001,0.0008,16.5,0
0.012700000000000001,0.0222,0.034,0.0327,0.0378,0.026500000000000003,0.0275,0.0241,0.0239,0.0814,0.027,0.0253,12.0,0
0.0091,0.0159,0.0263,0.0149,0.017,0.0094,0.024,0.0131,0.008700000000000001,0.044500000000000005,0.013300000000000001,0.0099,7.7,0
0.0743,0.1228,0.1716,0.1014,0.0813,0.022000000000000002,0.019700000000000002,0.0154,0.008700000000000001,0.0001,0.001,0.002,16.0,0
0.0743,0.1228,0.1716,0.1014,0.0813,0.022000000000000002,0.019700000000000002,0.0154,0.008700000000000001,0.0001,0.001,0.002,24.9,0
0.0507,0.09480000000000001,0.1434,0.0855,0.07250000000000001,0.019100000000000002,0.018500000000000003,0.013800000000000002,0.0066,0.0001,0.0006000000000000001,0.0015,12.5,0
0.0721,0.12380000000000001,0.1686,0.1034,0.07970000000000001,0.023700000000000002,0.020200000000000003,0.0146,0.009000000000000001,0.0001,0.0006000000000000001,0.0006000000000000001,16.0,0
0.065,0.1134,0.15760000000000002,0.1086,0.08600000000000001,0.025500000000000002,0.0228,0.0182,0.0082,0.0001,0.0001,0.0001,15.8,0
0.0801,0.134,0.1776,0.108,0.0833,0.022500000000000003,0.020200000000000003,0.0162,0.0081,0.0001,0.0001,0.0001,20.7,0
0.0079,0.0025,0.0056,0.0053,0.0032,0.0035,0.0035,0.0054,0.005,0.0078000000000000005,0.006200000000000001,0.0066,1.5,0
0.0079,0.0025,0.0056,0.0053,0.0032,0.0035,0.0035,0.0054,0.005,0.0078000000000000005,0.006200000000000001,0.0066,10.7,0
0.047400000000000005,0.0458,0.053200000000000004,0.0307,0.033100000000000004,0.0274,0.027200000000000002,0.023100000000000002,0.0228,0.0106,0.0148,0.010700000000000001,3.79,0
0.047400000000000005,0.0458,0.053200000000000004,0.0307,0.033100000000000004,0.0274,0.027200000000000002,0.023100000000000002,0.0228,0.0106,0.0148,0.010700000000000001,4.04,0
0.0088,0.011300000000000001,0.0068000000000000005,0.0045000000000000005,0.0044,0.0021000000000000003,0.0034000000000000002,0.0012000000000000001,0.0013000000000000002,0.1915,0.0054,0.0045000000000000005,2.0,0
0.009000000000000001,0.0109,0.0073,0.0038,0.0036000000000000003,0.001,0.0036000000000000003,0.0023,0.0025,0.1915,0.0045000000000000005,0.0041,2.5,0
0.027,0.025,0.02,0.01,0.0099,0.0076,0.0095,0.0074,0.0088,0.0005,0.0079,0.0058000000000000005,0.85,0
0.0477,0.0425,0.051800000000000006,0.030600000000000002,0.0357,0.0241,0.0219,0.0193,0.019100000000000002,0.012,0.011600000000000001,0.0097,3.98,0
0.006900000000000001,0.0128,0.0108,0.0061,0.0061,0.0047,0.006200000000000001,0.0044,0.0043,0.0023,0.0085,0.0073,0.75,0
0.0477,0.0425,0.051800000000000006,0.030600000000000002,0.0357,0.0241,0.0219,0.0193,0.019100000000000002,0.012,0.011600000000000001,0.0097,3.9,0
0.028900000000000002,0.027100000000000003,0.022500000000000003,0.019100000000000002,0.0204,0.0172,0.0198,0.014400000000000001,0.017400000000000002,0.014700000000000001,0.015300000000000001,0.0125,3.6,0
0.0095,0.0146,0.0275,0.0123,0.023200000000000002,0.0029000000000000002,0.0028,0.0004,0.0001,0.1915,0.0034000000000000002,0.0043,7.6,0
0.0103,0.010100000000000001,0.006500000000000001,0.0061,0.007,0.0009000000000000001,0.0034000000000000002,0.0002,0.0007,0.0001,0.0058000000000000005,0.006,2.2,0
