BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,VALUE,CLASSE
0.024300000000000002,0.0183,0.02,0.0161,0.0201,0.0111,0.012100000000000001,0.010400000000000001,0.009300000000000001,0.0024000000000000002,0.0045000000000000005,0.0029000000000000002,5.8,0
0.020300000000000002,0.0146,0.0146,0.012100000000000001,0.013800000000000002,0.0095,0.01,0.0082,0.0085,0.0014,0.0015,0.0019,5.3,0
0.022000000000000002,0.0166,0.0179,0.0142,0.0181,0.0091,0.009300000000000001,0.0068000000000000005,0.0049,0.0002,0.0032,0.0032,8.8,0
0.031900000000000005,0.033600000000000005,0.0378,0.0398,0.0424,0.0287,0.0304,0.0244,0.0218,0.0001,0.004,0.0032,50.2,1
0.020900000000000002,0.0164,0.0182,0.0131,0.0181,0.0094,0.0094,0.0058000000000000005,0.0044,0.0001,0.0011,0.0019,5.4,0
0.025500000000000002,0.0229,0.027,0.0251,0.032600000000000004,0.0172,0.0166,0.0128,0.0108,0.0001,0.0018000000000000002,0.0027,19.9,0
0.0091,0.0159,0.0263,0.0149,0.017,0.0094,0.024,0.0131,0.008700000000000001,0.044500000000000005,0.013300000000000001,0.0099,25.84,1
0.012700000000000001,0.0222,0.034,0.0327,0.0378,0.026500000000000003,0.0275,0.0241,0.0239,0.0814,0.027,0.0253,12.0,0
0.0091,0.0159,0.0263,0.0149,0.017,0.0094,0.024,0.0131,0.008700000000000001,0.044500000000000005,0.013300000000000001,0.0099,7.7,0
0.0079,0.0025,0.0056,0.0053,0.0032,0.0035,0.0035,0.0054,0.005,0.0078000000000000005,0.006200000000000001,0.0066,1.5,0
0.0079,0.0025,0.0056,0.0053,0.0032,0.0035,0.0035,0.0054,0.005,0.0078000000000000005,0.006200000000000001,0.0066,10.7,0
0.0088,0.011300000000000001,0.0068000000000000005,0.0045000000000000005,0.0044,0.0021000000000000003,0.0034000000000000002,0.0012000000000000001,0.0013000000000000002,0.1781,0.0054,0.0045000000000000005,2.0,0
0.009000000000000001,0.0109,0.0073,0.0038,0.0036000000000000003,0.001,0.0036000000000000003,0.0023,0.0025,0.1781,0.0045000000000000005,0.0041,2.5,0
0.027,0.025,0.02,0.01,0.0099,0.0076,0.0095,0.0074,0.0088,0.0005,0.0079,0.0058000000000000005,0.85,0
0.006900000000000001,0.0128,0.0108,0.0061,0.0061,0.0047,0.006200000000000001,0.0044,0.0043,0.0023,0.0085,0.0073,0.75,0
0.028900000000000002,0.027100000000000003,0.022500000000000003,0.019100000000000002,0.0204,0.0172,0.0198,0.014400000000000001,0.017400000000000002,0.014700000000000001,0.015300000000000001,0.0125,3.6,0
0.0095,0.0146,0.0275,0.0123,0.023200000000000002,0.0029000000000000002,0.0028,0.0004,0.0001,0.1781,0.0034000000000000002,0.0043,7.6,0
0.0001,0.0001,0.0228,0.012,0.024300000000000002,0.0001,0.0001,0.0001,0.0001,0.0018000000000000002,0.0053,0.0077,12.89,0
0.0001,0.0001,0.0228,0.012,0.024300000000000002,0.0001,0.0001,0.0001,0.0001,0.0018000000000000002,0.0053,0.0077,11.54,0
0.0001,0.0001,0.0228,0.012,0.024300000000000002,0.0001,0.0001,0.0001,0.0001,0.0018000000000000002,0.0053,0.0077,13.34,0
0.0001,0.0001,0.0228,0.012,0.024300000000000002,0.0001,0.0001,0.0001,0.0001,0.0018000000000000002,0.0053,0.0077,12.93,0
0.0001,0.0001,0.0228,0.012,0.024300000000000002,0.0001,0.0001,0.0001,0.0001,0.0018000000000000002,0.0053,0.0077,12.71,0
0.028900000000000002,0.026000000000000002,0.0308,0.0245,0.0337,0.0217,0.0211,0.0154,0.0189,0.0853,0.0179,0.0162,8.7,0
0.0001,0.0001,0.0228,0.012,0.024300000000000002,0.0001,0.0001,0.0001,0.0001,0.0018000000000000002,0.0053,0.0077,14.15,0
0.0001,0.0001,0.0228,0.012,0.024300000000000002,0.0001,0.0001,0.0001,0.0001,0.0018000000000000002,0.0053,0.0077,12.15,0
0.028900000000000002,0.026000000000000002,0.0308,0.0245,0.0337,0.0217,0.0211,0.0154,0.0189,0.0853,0.0179,0.0162,7.9,0
0.0001,0.0001,0.0228,0.012,0.024300000000000002,0.0001,0.0001,0.0001,0.0001,0.0018000000000000002,0.0053,0.0077,11.8,0
0.0001,0.0001,0.0228,0.012,0.024300000000000002,0.0001,0.0001,0.0001,0.0001,0.0018000000000000002,0.0053,0.0077,11.1,0
0.0001,0.0001,0.0228,0.012,0.024300000000000002,0.0001,0.0001,0.0001,0.0001,0.0018000000000000002,0.0053,0.0077,9.98,0
0.0001,0.0001,0.0228,0.012,0.024300000000000002,0.0001,0.0001,0.0001,0.0001,0.0018000000000000002,0.0053,0.0077,13.59,0
0.0001,0.0001,0.0228,0.012,0.024300000000000002,0.0001,0.0001,0.0001,0.0001,0.0018000000000000002,0.0053,0.0077,12.23,0
0.0001,0.0001,0.0228,0.012,0.024300000000000002,0.0001,0.0001,0.0001,0.0001,0.0018000000000000002,0.0053,0.0077,13.07,0
0.0001,0.0001,0.0228,0.012,0.024300000000000002,0.0001,0.0001,0.0001,0.0001,0.0018000000000000002,0.0053,0.0077,12.69,0
0.0055000000000000005,0.0068000000000000005,0.0043,0.0058000000000000005,0.0051,0.0043,0.0061,0.0043,0.006,0.0059,0.005,0.004,119.0,1
0.0091,0.0106,0.0077,0.008,0.006500000000000001,0.0054,0.0079,0.006900000000000001,0.0061,0.0026000000000000003,0.0078000000000000005,0.0056,112.0,1
0.0091,0.0106,0.0077,0.008,0.006500000000000001,0.0054,0.0079,0.006900000000000001,0.0061,0.0026000000000000003,0.0078000000000000005,0.0056,102.0,1
0.0055000000000000005,0.0068000000000000005,0.0043,0.0058000000000000005,0.0051,0.0043,0.0061,0.0043,0.006,0.0059,0.005,0.004,70.5,1
0.0115,0.0161,0.0182,0.0114,0.0085,0.007,0.0053,0.006,0.0022,0.0012000000000000001,0.0009000000000000001,0.0024000000000000002,2.0,0
0.0029000000000000002,0.0092,0.018000000000000002,0.0102,0.0126,0.0032,0.0048000000000000004,0.0053,0.0056,0.0089,0.008400000000000001,0.0035,5.95,0
0.0068000000000000005,0.014400000000000001,0.0246,0.0195,0.0175,0.005200000000000001,0.0044,0.0051,0.0035,0.0002,0.0035,0.0025,3.0,0
0.003,0.0058000000000000005,0.0241,0.0083,0.0165,0.0029000000000000002,0.0035,0.0048000000000000004,0.0044,0.024300000000000002,0.0061,0.0056,7.55,0
0.0061,0.011000000000000001,0.0224,0.0159,0.026000000000000002,0.009000000000000001,0.0109,0.0086,0.0071,0.0009000000000000001,0.0038,0.0027,26.0,1
0.0077,0.017400000000000002,0.023100000000000002,0.0176,0.020800000000000003,0.0063,0.0081,0.007,0.0032,0.001,0.0027,0.0018000000000000002,12.0,0
0.004,0.004200000000000001,0.0034000000000000002,0.0024000000000000002,0.0038,0.0015,0.0024000000000000002,0.0028,0.002,0.0068000000000000005,0.0091,0.0066,0.92,0
0.0027,0.0041,0.017,0.0071,0.0142,0.0004,0.0059,0.0047,0.003,0.0346,0.0047,0.0048000000000000004,5.88,0
0.0091,0.0143,0.0244,0.016300000000000002,0.0206,0.0097,0.009600000000000001,0.0105,0.0085,0.0594,0.0094,0.007,8.63,0
0.005,0.007200000000000001,0.0094,0.0047,0.0034000000000000002,0.0026000000000000003,0.0048000000000000004,0.0035,0.0037,0.003,0.0054,0.004,1.2,0
0.008700000000000001,0.0109,0.0187,0.0079,0.0081,0.006,0.0078000000000000005,0.0073,0.0073,0.0028,0.006900000000000001,0.0055000000000000005,2.0,0
0.0038,0.007,0.0134,0.0046,0.0035,0.0009000000000000001,0.002,0.0022,0.0037,0.0013000000000000002,0.0035,0.0015,1.2,0
0.006,0.0086,0.0161,0.0043,0.0068000000000000005,0.006,0.0055000000000000005,0.005200000000000001,0.0081,0.033800000000000004,0.0064,0.0051,1.3,0
0.0114,0.013600000000000001,0.0088,0.0055000000000000005,0.0066,0.0076,0.0091,0.006200000000000001,0.0054,0.0001,0.0029000000000000002,0.0033,3.675441,0
0.0207,0.0227,0.026000000000000002,0.0128,0.012100000000000001,0.0061,0.0083,0.005200000000000001,0.0057,0.1781,0.0081,0.0067,1.6,0
0.0234,0.022500000000000003,0.0199,0.0154,0.016800000000000002,0.0111,0.014700000000000001,0.0111,0.012700000000000001,0.0066,0.0146,0.0095,3.6,0
0.0201,0.0234,0.0213,0.011300000000000001,0.0111,0.0077,0.0105,0.007,0.009000000000000001,0.0051,0.0085,0.0063,1.1,0
0.0159,0.0201,0.0183,0.0098,0.008,0.004,0.0054,0.0025,0.0033,0.0001,0.0067,0.0045000000000000005,1.0,0
0.0167,0.024300000000000002,0.0268,0.012,0.0112,0.0055000000000000005,0.0073,0.0033,0.0048000000000000004,0.1781,0.006900000000000001,0.006500000000000001,1.7,0
