BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,VALUE,CLASSE
0.0329,0.040400000000000005,0.064,0.0263,0.020800000000000003,0.0108,0.012,0.0106,0.0115,0.0021000000000000003,0.015300000000000001,0.0134,2.88,0
0.033,0.0351,0.0507,0.019100000000000002,0.0154,0.0077,0.009600000000000001,0.0078000000000000005,0.008,0.006900000000000001,0.0058000000000000005,0.0055000000000000005,1.8,0
0.0446,0.041,0.0577,0.0273,0.0251,0.019100000000000002,0.021,0.0187,0.020900000000000002,0.017400000000000002,0.018000000000000002,0.0182,1.39,0
0.0362,0.0392,0.057100000000000005,0.021,0.0161,0.010700000000000001,0.0108,0.0092,0.0086,0.0066,0.0048000000000000004,0.0045000000000000005,1.67,0
0.0432,0.0456,0.061700000000000005,0.030600000000000002,0.0262,0.019100000000000002,0.0188,0.0183,0.0171,0.0148,0.017400000000000002,0.015700000000000002,1.81,0
0.0502,0.0551,0.0723,0.0448,0.0415,0.027100000000000003,0.0291,0.0268,0.0253,0.018000000000000002,0.027700000000000002,0.023100000000000002,2.77,0
0.0328,0.033800000000000004,0.0489,0.0175,0.0145,0.0083,0.007,0.007200000000000001,0.006900000000000001,0.0053,0.0047,0.004,1.81,0
0.0323,0.0327,0.0489,0.0176,0.0142,0.0092,0.0091,0.007200000000000001,0.0077,0.0068000000000000005,0.0046,0.0045000000000000005,1.73,0
0.032600000000000004,0.031400000000000004,0.0448,0.0161,0.0132,0.0091,0.0088,0.0076,0.0067,0.0074,0.0039000000000000003,0.0035,1.19,0
0.032100000000000004,0.0335,0.047,0.0158,0.0128,0.007200000000000001,0.0073,0.006900000000000001,0.0063,0.0036000000000000003,0.0085,0.0077,1.42,0
0.0345,0.0359,0.055400000000000005,0.0222,0.019,0.0134,0.015000000000000001,0.0118,0.012400000000000001,0.0152,0.0219,0.016,2.51,0
0.0454,0.0313,0.045000000000000005,0.0175,0.014700000000000001,0.0108,0.012700000000000001,0.0109,0.0129,0.0858,0.019700000000000002,0.014100000000000001,1.36,0
0.033800000000000004,0.0333,0.0489,0.0177,0.014700000000000001,0.0073,0.008,0.007,0.0064,0.005,0.0053,0.0031000000000000003,1.8,0
0.0488,0.0504,0.065,0.038,0.033600000000000005,0.0252,0.0252,0.0251,0.0233,0.027600000000000003,0.0235,0.020800000000000003,1.9,0
0.033,0.0342,0.049300000000000004,0.017,0.014400000000000001,0.0095,0.0102,0.0078000000000000005,0.006900000000000001,0.0059,0.0047,0.0037,1.63,0
0.0363,0.0391,0.0613,0.0224,0.017400000000000002,0.0088,0.011000000000000001,0.0086,0.009600000000000001,0.0098,0.0122,0.0097,2.42,0
0.046200000000000005,0.0536,0.0661,0.0376,0.0363,0.028800000000000003,0.028200000000000003,0.0285,0.0274,0.018000000000000002,0.0257,0.0206,2.06,0
0.045000000000000005,0.0456,0.0597,0.029500000000000002,0.0269,0.0206,0.0201,0.018600000000000002,0.019700000000000002,0.0155,0.021,0.020200000000000003,1.27,0
0.0679,0.0709,0.0884,0.0637,0.06430000000000001,0.0512,0.0526,0.046900000000000004,0.05,0.0426,0.046400000000000004,0.040100000000000004,1.36,0
0.048600000000000004,0.0489,0.0648,0.0347,0.0323,0.027100000000000003,0.0274,0.024200000000000003,0.0257,0.0217,0.0245,0.022500000000000003,1.29,0
0.0342,0.034800000000000005,0.052700000000000004,0.0181,0.014400000000000001,0.007200000000000001,0.0073,0.006,0.0055000000000000005,0.0048000000000000004,0.0068000000000000005,0.0054,1.97,0
0.0334,0.0334,0.049300000000000004,0.017,0.013600000000000001,0.008,0.0088,0.0073,0.006900000000000001,0.0046,0.0045000000000000005,0.0036000000000000003,1.59,0
0.0332,0.0333,0.0492,0.017,0.014400000000000001,0.009000000000000001,0.0102,0.0077,0.0078000000000000005,0.0055000000000000005,0.0044,0.0031000000000000003,1.48,0
0.0461,0.051300000000000005,0.0655,0.0351,0.0308,0.0253,0.0268,0.0241,0.024800000000000003,0.018000000000000002,0.0227,0.0219,1.39,0
0.051500000000000004,0.053200000000000004,0.068,0.0395,0.0363,0.0327,0.031100000000000003,0.029400000000000003,0.031100000000000003,0.022000000000000002,0.0275,0.0236,1.29,0
0.0553,0.056600000000000004,0.0775,0.0594,0.0543,0.0349,0.0357,0.0352,0.036500000000000005,0.058600000000000006,0.0359,0.030000000000000002,3.67,0
0.0545,0.0485,0.0683,0.0363,0.0354,0.0298,0.028,0.0244,0.0292,0.0256,0.0279,0.0273,1.4,0
0.032,0.032600000000000004,0.046200000000000005,0.0161,0.0131,0.008,0.0086,0.0076,0.006900000000000001,0.007200000000000001,0.0048000000000000004,0.0045000000000000005,1.27,0
0.055400000000000005,0.057800000000000004,0.07060000000000001,0.0412,0.0396,0.033600000000000005,0.033800000000000004,0.0304,0.028900000000000002,0.0275,0.0302,0.0275,1.31,0
0.0531,0.054900000000000004,0.07150000000000001,0.0379,0.035,0.0298,0.0308,0.026000000000000002,0.027100000000000003,0.0235,0.025,0.0239,1.48,0
0.0375,0.0417,0.0574,0.0236,0.0211,0.0148,0.0155,0.012700000000000001,0.0119,0.007500000000000001,0.0103,0.008700000000000001,1.55,0
0.0329,0.0359,0.051300000000000005,0.0176,0.0131,0.0077,0.0078000000000000005,0.006500000000000001,0.0058000000000000005,0.0038,0.0041,0.0022,1.64,0
0.049,0.0468,0.062200000000000005,0.031100000000000003,0.0281,0.023100000000000002,0.022500000000000003,0.0196,0.0236,0.0188,0.0182,0.0184,1.55,0
0.032600000000000004,0.0329,0.0476,0.0164,0.013600000000000001,0.008400000000000001,0.0094,0.0076,0.0082,0.0082,0.008700000000000001,0.0071,1.25,0
0.046900000000000004,0.0507,0.0655,0.0359,0.0337,0.0287,0.0281,0.027,0.0285,0.0211,0.0218,0.022600000000000002,1.34,0
0.0632,0.0726,0.0881,0.0603,0.058800000000000005,0.05,0.0511,0.0449,0.0442,0.0432,0.0223,0.0149,2.5,0
0.06670000000000001,0.0718,0.0782,0.0591,0.061000000000000006,0.052500000000000005,0.0514,0.0456,0.0444,0.0548,0.0279,0.0207,1.15,0
0.0589,0.0683,0.0806,0.052000000000000005,0.051300000000000005,0.043000000000000003,0.043000000000000003,0.038,0.0398,0.037000000000000005,0.0199,0.015700000000000002,2.91,0
0.0608,0.0721,0.0862,0.0582,0.054,0.0455,0.0456,0.039,0.038400000000000004,0.0349,0.0206,0.0143,3.64,0
0.0558,0.06470000000000001,0.0781,0.0477,0.0455,0.0366,0.0361,0.031400000000000004,0.0303,0.029500000000000002,0.015600000000000001,0.0115,2.46,0
0.0574,0.0644,0.0776,0.0494,0.0476,0.0376,0.0374,0.0324,0.0304,0.0313,0.014400000000000001,0.009300000000000001,3.08,0
0.0589,0.0703,0.0868,0.0545,0.050300000000000004,0.0415,0.040100000000000004,0.0363,0.0349,0.0337,0.0159,0.011600000000000001,3.35,0
0.0572,0.0674,0.0789,0.0485,0.0471,0.0402,0.0397,0.0346,0.0335,0.032600000000000004,0.0158,0.01,2.08,0
0.061900000000000004,0.07150000000000001,0.0874,0.0589,0.0551,0.0439,0.043500000000000004,0.0388,0.0388,0.0502,0.027100000000000003,0.019200000000000002,2.92,0
0.060700000000000004,0.06860000000000001,0.0804,0.0531,0.0514,0.0456,0.0458,0.039400000000000004,0.0405,0.0396,0.0201,0.0152,2.29,0
0.0632,0.0732,0.08850000000000001,0.059500000000000004,0.057800000000000004,0.0494,0.0497,0.0432,0.0437,0.043500000000000004,0.0218,0.015700000000000002,2.5,0
0.0606,0.0675,0.0742,0.0505,0.047400000000000005,0.041600000000000005,0.0413,0.0362,0.035,0.039400000000000004,0.0177,0.012400000000000001,1.6,0
0.0639,0.0711,0.083,0.054200000000000005,0.0509,0.042100000000000005,0.0425,0.0359,0.0358,0.0359,0.0172,0.011300000000000001,3.1,0
0.06430000000000001,0.0709,0.0781,0.0521,0.051000000000000004,0.0439,0.0448,0.0395,0.037200000000000004,0.044000000000000004,0.019700000000000002,0.0135,1.36,0
0.06910000000000001,0.0784,0.09530000000000001,0.0674,0.06520000000000001,0.056100000000000004,0.0565,0.0494,0.049300000000000004,0.0551,0.025900000000000003,0.020300000000000002,2.44,0
0.0679,0.0755,0.0903,0.061900000000000004,0.0591,0.050300000000000004,0.050300000000000004,0.043300000000000005,0.0419,0.046900000000000004,0.0223,0.0161,3.0,0
0.0699,0.0792,0.0956,0.06520000000000001,0.059000000000000004,0.049,0.0482,0.0409,0.0408,0.045000000000000005,0.0179,0.012400000000000001,3.67,0
0.0671,0.07400000000000001,0.0776,0.056600000000000004,0.0557,0.0497,0.050100000000000006,0.0442,0.042800000000000005,0.049100000000000005,0.0193,0.011600000000000001,1.04,0
0.0673,0.0734,0.0762,0.0538,0.053700000000000005,0.0458,0.045700000000000005,0.0393,0.0368,0.0494,0.017,0.012700000000000001,1.18,0
0.0669,0.07390000000000001,0.0762,0.053200000000000004,0.0517,0.0468,0.0456,0.041,0.038700000000000005,0.0456,0.0184,0.0129,1.06,0
0.0673,0.0741,0.0772,0.0536,0.052700000000000004,0.0458,0.0454,0.04,0.0375,0.0494,0.0171,0.013300000000000001,1.18,0
0.0679,0.0758,0.0922,0.0629,0.059800000000000006,0.050100000000000006,0.050100000000000006,0.0434,0.0437,0.046900000000000004,0.0222,0.0161,3.0,0
0.0697,0.0772,0.093,0.0668,0.0653,0.056100000000000004,0.0575,0.05,0.047900000000000005,0.0562,0.025900000000000003,0.020900000000000002,2.44,0
0.06430000000000001,0.0695,0.0771,0.052700000000000004,0.0517,0.0466,0.0448,0.0398,0.0392,0.044000000000000004,0.0204,0.0135,1.36,0
0.0606,0.0682,0.07440000000000001,0.049600000000000005,0.0478,0.0413,0.0407,0.0357,0.035300000000000005,0.0409,0.0181,0.0125,1.6,0
0.061500000000000006,0.0695,0.0847,0.054200000000000005,0.0524,0.043500000000000004,0.0442,0.037200000000000004,0.0371,0.0359,0.0213,0.0165,2.63,0
0.0579,0.068,0.0813,0.0512,0.048400000000000006,0.038200000000000005,0.0385,0.034300000000000004,0.033,0.0328,0.013900000000000001,0.0094,2.52,0
0.0591,0.067,0.0799,0.0506,0.0483,0.0413,0.042100000000000005,0.0356,0.0345,0.0358,0.0151,0.011000000000000001,2.76,0
0.0608,0.0712,0.0879,0.0589,0.0546,0.0449,0.045700000000000005,0.0393,0.037000000000000005,0.0349,0.0211,0.014100000000000001,3.64,0
0.0669,0.0743,0.0758,0.0531,0.053700000000000005,0.0473,0.046400000000000004,0.0395,0.0392,0.0456,0.0184,0.0126,1.06,0
0.0582,0.0685,0.08560000000000001,0.0512,0.0477,0.0373,0.0369,0.0317,0.0316,0.031900000000000005,0.0176,0.0137,2.73,0
0.0567,0.0679,0.08070000000000001,0.0505,0.047,0.0368,0.0366,0.032,0.0292,0.0315,0.013800000000000002,0.0094,2.73,0
0.06960000000000001,0.07980000000000001,0.0971,0.0654,0.0603,0.0488,0.0478,0.0422,0.042100000000000005,0.0453,0.018000000000000002,0.012,3.67,0
0.0589,0.06910000000000001,0.0833,0.053200000000000004,0.0504,0.0381,0.038,0.033800000000000004,0.0318,0.033100000000000004,0.0148,0.0106,3.41,0
0.0671,0.0751,0.0782,0.056400000000000006,0.0558,0.049800000000000004,0.0506,0.0436,0.0437,0.049100000000000005,0.0181,0.0119,1.04,0
